"municipio_id","mpioresidencia","unique_people"
"68320","68320 - Guadalupe",2
"68324","68324 - Guavatá",1
"68385","68385 - Landázuri",3
"68406","68406 - Lebríja",16
"68425","68425 - Macaravita",1
"68432","68432 - Málaga",5
"68444","68444 - Matanza",8
"68464","68464 - Mogotes",1
"68500","68500 - Oiba",1
"68547","68547 - Piedecuesta",43
"68549","68549 - Pinchote",1
"68573","68573 - Puerto Parra",1
"68575","68575 - Puerto Wilches",18
"68615","68615 - Rionegro",26
"68655","68655 - Sabana De Torres",20
"68679","68679 - San Gil",14
"68684","68684 - San José De Miranda",5
"68689","68689 - San Vicente De Chucurí",25
"68720","68720 - Santa Helena Del Opón",1
"68745","68745 - Simacota",8
"68755","68755 - Socorro",7
"68773","68773 - Sucre",2
"68780","68780 - Suratá",1
"68861","68861 - Vélez",2
"68867","68867 - Vetas",2
"68895","68895 - Zapatoca",1
"70001","70001 - Sincelejo",297
"70110","70110 - Buenavista",8
"70124","70124 - Caimito",3
"70204","70204 - Coloso",4
"70215","70215 - Corozal",132
"70221","70221 - Coveñas",3
"70230","70230 - Chalán",2
"70233","70233 - El Roble",5
"70235","70235 - Galeras",7
"70265","70265 - Guaranda",1
"70400","70400 - La Unión",4
"70418","70418 - Los Palmitos",21
"70429","70429 - Majagual",38
"70473","70473 - Morroa",7
"70508","70508 - Ovejas",13
"70523","70523 - Palmito",27
"70670","70670 - Sampués",7
"70678","70678 - San Benito Abad",10
"70702","70702 - San Juan De Betulia",2
"70708","70708 - San Marcos",13
"70713","70713 - San Onofre",49
"70717","70717 - San Pedro",10
"70742","70742 - San Luis De Sincé",4
"70771","70771 - Sucre",7
"70820","70820 - Santiago De Tolú",4
"70823","70823 - Tolú Viejo",17
"73001","73001 - Ibagué",161
"73024","73024 - Alpujarra",1
"73043","73043 - Anzoátegui",2
"73055","73055 - Armero",5
"73067","73067 - Ataco",4
"73124","73124 - Cajamarca",1
"73152","73152 - Casabianca",1
"73168","73168 - Chaparral",11
"73217","73217 - Coyaima",3
"73226","73226 - Cunday",2
"73236","73236 - Dolores",1
"73268","73268 - Espinal",1
"73270","73270 - Falan",2
"73275","73275 - Flandes",1
"73283","73283 - Fresno",9
"73319","73319 - Guamo",2
"73347","73347 - Herveo",3
"73349","73349 - Honda",1
"73408","73408 - Lérida",27
"73411","73411 - Líbano",26
"73443","73443 - Mariquita",71
"73449","73449 - Melgar",7
"73483","73483 - Natagaima",2
"73504","73504 - Ortega",7
"73520","73520 - Palocabildo",3
"73555","73555 - Planadas",2
"73563","73563 - Prado",5
"73616","73616 - Rioblanco",2
"73624","73624 - Rovira",2
"73671","73671 - Saldaña",2
"73675","73675 - San Antonio",1
"73678","73678 - San Luis",12
"73686","73686 - Santa Isabel",1
"76001","76001 - Cali",1077
"76020","76020 - Alcalá",14
"76036","76036 - Andalucía",8
"76041","76041 - Ansermanuevo",1
"76054","76054 - Argelia",3
"76100","76100 - Bolívar",2
"76109","76109 - Buenaventura",285
"76111","76111 - Guadalajara De Buga",12
"76113","76113 - Bugalagrande",24
"76122","76122 - Caicedonia",12
"76126","76126 - Calima",72
"76130","76130 - Candelaria",12
"76147","76147 - Cartago",16
"76233","76233 - Dagua",73
"76243","76243 - El Águila",4
"76246","76246 - El Cairo",7
"76248","76248 - El Cerrito",8
"76250","76250 - El Dovio",2
"76275","76275 - Florida",47
"76306","76306 - Ginebra",12
"76318","76318 - Guacarí",7
"76364","76364 - Jamundí",62
"76377","76377 - La Cumbre",5
"76400","76400 - La Unión",1
"76403","76403 - La Victoria",1
"76497","76497 - Obando",3
"76520","76520 - Palmira",50
"76563","76563 - Pradera",22
"76606","76606 - Restrepo",13
"76616","76616 - Riofrío",19
"76622","76622 - Roldanillo",2
"76670","76670 - San Pedro",4
"76736","76736 - Sevilla",3
"76823","76823 - Toro",4
"76828","76828 - Trujillo",37
"76834","76834 - Tuluá",272
"76863","76863 - Versalles",1
"76869","76869 - Vijes",2
"76890","76890 - Yotoco",14
"76892","76892 - Yumbo",46
"76895","76895 - Zarzal",5
"81001","81001 - Arauca",66
"81065","81065 - Arauquita",18
"81220","81220 - Cravo Norte",1
"81300","81300 - Fortul",8
"81736","81736 - Saravena",84
"81794","81794 - Tame",35
"85001","85001 - Yopal",106
"85010","85010 - Aguazul",15
"85015","85015 - Chameza",2
"85125","85125 - Hato Corozal",3
"85136","85136 - La Salina",1
"85139","85139 - Maní",11
"85162","85162 - Monterrey",29
"85225","85225 - Nunchía",3
"85230","85230 - Orocué",8
"85250","85250 - Paz De Ariporo",37
"85263","85263 - Pore",9
"85279","85279 - Recetor",2
"85300","85300 - Sabanalarga",2
"85325","85325 - San Luis De Palenque",3
"85400","85400 - Támara",7
"85410","85410 - Tauramena",41
"85430","85430 - Trinidad",8
"85440","85440 - Villanueva",19
"86001","86001 - Mocoa",127
"86219","86219 - Colón",4
"86320","86320 - Orito",93
"86568","86568 - Puerto Asís",41
"86569","86569 - Puerto Caicedo",3
"86571","86571 - Puerto Guzmán",1
"86573","86573 - Leguízamo",10
"86749","86749 - Sibundoy",9
"86755","86755 - San Francisco",5
"86757","86757 - San Miguel",122
"86760","86760 - Santiago",3
